Category,Year,param(Rainfall),param(TreeRingSize)
2,1850,852,1.11
1,1851,1806,0.384
4,1852,1356,0.615
4,1853,1233,0.787
4,1854,1590,0.768
4,1855,1273,0.774
4,1856,1770,0.824
4,1857,1734,0.882
4,1858,1457,0.913
4,1859,1357,0.845
4,1860,1716,0.812
4,1861,1445,0.786
2,1862,1468,0.96
4,1863,1452,0.908
2,1864,1098,0.955
4,1865,1238,0.828
1,1866,2478,0.86
1,1867,832,0.584
4,1868,1289,0.894
4,1869,1470,0.678
4,1870,1628,0.715
4,1871,1459,0.688
1,1872,2256,1.001
1,1873,2058,1
2,1874,1487,1.081
2,1875,1581,1.004
2,1876,1569,1.166
1,1877,468,0.45
1,1878,503,0.718
1,1879,597,0.67
4,1880,1539,0.924
2,1881,1423,0.935
2,1882,1246,0.974
2,1883,1508,1.056
2,1884,1047,1.197
2,1885,1307,1.109
2,1886,1399,1.211
2,1887,1320,1.326
2,1888,736,1.113
2,1889,784,1.33
2,1890,1534,1.299
2,1891,1077,1.187
2,1892,1211,1.171
2,1893,1430,1.271
1,1894,2505,1.281
1,1895,2491,1.223
1,1896,2144,1.168
4,1897,1839,0.75
2,1898,863,1.04
1,1899,2414,0.992
2,1900,940,1.209
2,1901,1545,1.139
1,1902,878,1.4
1,1903,789,1.397
2,1904,1136,1.417
1,1905,1189,1.377
2,1906,1430,1.075
1,1907,697,1.514
2,1908,834,1.339
2,1909,1015,1.256
1,1910,2051,1.31
4,1911,1373,0.641
1,1912,2446,0.594
1,1913,1905,0.653
4,1914,1512,0.901
1,1915,530,0.995
2,1916,1328,1.165
4,1917,2077,0.854
2,1918,1319,1.03
1,1919,656,0.814
4,1920,1847,0.861
1,1921,2496,0.892
2,1922,1595,1.014
4,1923,1513,0.655
4,1924,1847,0.804
2,1925,1137,1.122
2,1926,1571,1.091
2,1927,1195,0.882
2,1928,995,1.068
2,1929,1230,1.33
2,1930,1107,1.117
2,1931,1133,1.045
2,1932,879,1.139
2,1933,937,1.353
4,1934,1888,0.939
1,1935,1661,1.384
1,1936,820,0.848
2,1937,1313,0.99
2,1938,1586,1.144
4,1939,1911,0.885
4,1940,1447,0.919
2,1941,916,1.02
2,1942,780,1.097
2,1943,1042,0.894
4,1944,1090,0.692
4,1945,1750,0.783
4,1946,1724,0.927
1,1947,1726,1.198
2,1948,1384,1.172
4,1949,1881,0.986
2,1950,1114,1.288
2,1951,747,1.233
2,1952,1378,1.107
2,1953,1068,1.075
2,1954,1032,1.147
2,1955,1152,0.967
2,1956,806,1.083
4,1957,1225,0.74
1,1958,504,0.548
4,1959,1493,0.589
4,1960,1011,0.767
1,1961,1737,0.497
4,1962,1258,0.678
4,1963,2102,0.841
1,1964,2428,0.689
4,1965,1630,0.867
2,1966,1288,0.912
4,1967,1839,0.739
4,1968,1385,0.886
4,1969,1805,0.626
4,1970,1192,0.785
4,1971,2093,0.77
2,1972,1299,0.922
4,1973,2331,0.837
1,1974,2512,0.931
